2H chemical shift (ppm),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
0.7374353914189955,163.4163125,205.0363125,58.1348125,149.152125,356.2916875,119.36375,30.8581875,285.767375,197.1666875,309.4009375,510.087125,-36.1338125,458.5366875,371.8966875,201.1081875,361.8510625,90.8268125,-109.4405625,138.711875,148.310625,131.947875,450.4333125,369.3389375,553.0505,315.827125,348.293875,357.070125,223.0876875,471.324875,450.036,352.668875,805.9055,485.7136875,268.531875,526.3378125,122.37575,337.776625,77.1841875,712.28625,71.7760625,224.777,28.2503125,484.1635625,589.744125,455.111125,324.8680625,339.534375,290.9349375,422.74675,455.4695,728.894125,653.13075,175.5050625,497.0871875,822.4464375,379.479125,409.045,249.837375,490.3430625,500.849375,-19.063,490.0729375,555.5901875,284.7870625,276.78625,205.5786875,288.2536875,444.4643125,345.0816875,20.392125,503.3780625,137.209375,438.1945625,366.0214375,658.5661875,930.3374375,653.4965,372.1943125,403.2610625,397.9005625,573.5895,277.017625,788.7169375,381.604875,182.2590625,145.50625,124.9038125,494.0673125,225.250125,511.9515625,259.0346875,817.4960625,201.1866875,169.3355625,345.1234375,571.379625,456.1386875,272.7843125,-18.9100625,358.945625,424.4279375,495.5436875,370.0595625,267.931625,280.6183125,338.659625,359.5266875,44.21175,341.4070625,665.550375,364.5085,297.7815625,492.008375,547.69675,452.014375,242.5124375,433.0415,413.9956875,271.0434375,448.6535,588.526375,94.74725,189.1593125,450.356375,754.8246875,660.9258125,477.3398125,128.6968125,270.78325,274.584875
0.7415079141410787,189.181875,259.33375,62.4634375,153.778875,333.1796875,124.5365,-4.1405625,327.77825,294.424125,343.8275625,510.3304375,12.4231875,492.133875,376.6391875,200.7450625,342.9341875,106.8514375,-97.9471875,78.8486875,128.0294375,140.755625,438.57025,392.889375,578.68925,288.5638125,299.455,380.652625,213.388125,465.7980625,423.42175,339.425125,810.0884375,453.566125,235.29425,556.9390625,115.877,399.4185625,62.5856875,699.676,34.33475,226.3206875,91.04425,465.3355,631.1338125,487.94825,334.1130625,393.45025,332.1433125,400.7033125,432.574625,674.29675,643.987125,110.136625,478.241625,809.7224375,389.4595625,401.8495,251.46,493.5305,563.764875,88.4063125,577.0406875,607.5063125,284.6626875,244.6490625,173.27125,288.1715625,449.3591875,373.342125,14.0040625,493.982875,139.516875,471.5600625,385.536625,627.43175,903.7909375,681.7150625,411.9048125,408.4930625,381.3936875,562.60925,240.22775,806.5035625,384.8728125,179.6095,136.93975,178.493125,520.351125,222.1975,491.6914375,304.8468125,760.925,191.555875,160.976,375.04025,594.8625,499.946125,295.20375,18.8919375,380.2924375,398.7630625,507.801375,386.0551875,259.360375,231.9049375,322.807125,320.15225,64.7065,363.908875,661.7846875,373.4168125,241.970875,463.078,574.13425,451.6759375,239.95175,434.80825,416.73675,318.267125,447.7635625,506.1175,112.61125,199.78025,489.2756875,781.70575,665.7220625,503.11625,112.0029375,303.173375,323.482375
0.7455804368631478,224.1030625,301.8181875,80.2910625,148.286125,309.744,114.18725,-18.78375,353.7524375,389.5505625,370.2211875,499.646375,60.7550625,521.699125,368.278125,218.870875,334.89525,133.044375,-83.8123125,12.36,120.116625,139.1608125,407.5529375,394.0424375,617.772375,256.979875,270.8588125,384.9629375,211.0706875,456.1313125,407.582375,324.2334375,792.4781875,441.98325,204.0106875,578.399875,107.3525,464.2280625,71.7905,672.08925,-3.4979375,237.5285625,158.2679375,429.99075,679.2536875,519.787625,344.844125,428.737375,351.4868125,387.5241875,408.6798125,621.221125,599.52825,65.483125,468.2773125,768.499,397.406375,410.52925,254.4079375,485.538875,626.2054375,196.393,656.168625,648.391875,291.688125,229.1775625,162.2326875,301.0529375,466.383375,405.716375,25.9089375,458.0999375,135.145,505.5834375,413.5209375,595.734875,861.51675,698.3546875,456.3055625,416.8374375,384.69025,528.3805,199.1306875,802.7765,400.5345625,164.4244375,116.8441875,242.2665625,523.7124375,220.327125,484.83225,329.87575,701.380375,208.093375,156.90125,415.1968125,603.8175,526.0150625,324.61225,74.668625,393.135125,375.2055625,515.8665,392.6335,256.849,180.1764375,306.5339375,285.1413125,91.108,391.7604375,633.8816875,369.25,196.7014375,428.7455,580.631125,455.4768125,259.903,425.8785625,428.0653125,375.6905,449.8498125,416.6743125,130.84175,191.3311875,522.355125,788.7088125,677.914375,517.033375,101.5398125,343.185,375.1759375
0.749652959585231,258.568875,329.4719375,108.815375,151.2353125,304.26875,77.6010625,-11.5346875,364.2414375,456.6154375,383.9128125,477.5015625,106.287875,529.290875,353.3795625,248.3185625,341.8468125,150.026625,-59.7446875,-37.6361875,126.4509375,129.3625625,355.8695625,376.682375,662.230125,231.972875,255.892875,366.979125,203.7681875,454.9843125,399.6620625,312.3055,763.388625,445.6164375,188.63,583.959375,103.8286875,503.3713125,106.10725,634.2468125,-38.57075,267.7000625,224.274125,384.8340625,724.3495625,547.6578125,366.0741875,438.1245625,340.709125,380.42125,379.3656875,574.673125,538.438,50.0781875,474.2238125,722.91975,406.3440625,426.569,262.278875,464.1478125,683.255875,285.1160625,707.9435,666.096875,305.2056875,231.352375,178.1768125,331.08475,494.372,432.5354375,64.6049375,399.45975,134.226875,527.6844375,446.025875,565.7600625,808.4486875,704.78325,505.7095625,443.354875,404.7894375,481.338375,159.526375,774.3375625,431.234875,136.6768125,91.2354375,319.3901875,512.62575,222.2050625,483.606875,348.29725,644.3735,240.2495625,175.4169375,467.4911875,600.318875,534.3471875,346.79825,143.5355625,400.966125,354.88125,514.706,392.979,256.7170625,128.3050625,299.5601875,262.2885625,106.27,413.826625,583.0741875,359.6174375,173.7126875,396.283375,574.7858125,458.53025,301.4388125,418.362375,434.746125,418.823375,454.421,339.1925625,141.4334375,178.19825,531.27075,776.3226875,685.54975,512.4589375,104.1275625,396.551375,423.58075
0.7537254823073001,291.90375,346.163375,144.67175,177.2428125,321.67425,22.054375,7.372125,366.1769375,485.0383125,384.9938125,446.2559375,148.700125,506.8575,339.303875,281.9939375,362.678875,139.702875,-24.4029375,-64.151625,144.019125,119.6580625,297.153,356.540375,699.891125,224.910625,246.533125,334.4624375,180.322625,463.9645,392.3458125,302.7919375,731.0893125,447.60725,202.1195625,566.6385,116.131,504.17025,156.486,604.414875,-71.662,312.343625,286.66875,335.0410625,759.8961875,566.0789375,400.6175,420.2495,305.747875,380.1085,349.139125,541.989375,488.2218125,60.62225,493.6375,692.929875,416.8459375,440.49175,277.501125,432.1845625,725.922,337.7966875,722.643125,645.6706875,313.3886875,236.069375,219.11,375.9048125,525.0626875,446.4239375,129.3585,323.77125,154.4771875,542.6291875,482.3496875,536.755875,750.320125,708.7271875,556.4416875,481.79825,443.1615,436.26875,120.029125,726.8406875,470.84875,108.2325625,70.327625,405.856875,497.1555,230.5106875,482.864625,365.0583125,593.443125,280.74025,221.8195,532.201,590.183125,528.826625,353.9983125,212.4855625,413.6288125,336.6705625,500.397,386.4345,255.35725,82.36575,302.2489375,261.7434375,96.2280625,419.1409375,514.3625,356.5315625,172.633875,366.695875,564.7530625,457.4308125,349.22,412.94725,437.4339375,432.3130625,459.815375,287.0421875,138.5438125,173.5191875,516.1184375,747.8684375,676.5589375,481.302625,115.612,463.354375,462.1253125
0.7577980050293833,330.0581875,354.5425625,178.510375,225.4465,349.37575,-32.001875,21.87125,366.517375,476.4579375,376.6045,412.5638125,184.9745,461.217875,331.4818125,320.5374375,399.068125,101.458,14.7274375,-71.421375,164.247125,116.195,249.4874375,349.1480625,719.5311875,240.90525,239.9106875,301.1895,142.8169375,471.6905625,379.8565625,293.21325,696.999,436.8263125,246.7918125,524.8343125,149.329125,478.201375,210.909625,601.1413125,-106.4358125,350.98225,345.01725,282.8545,780.7783125,572.145625,438.3440625,378.3470625,264.532625,390.9356875,333.4418125,526.141375,465.8674375,92.692125,515.74775,680.92925,425.802,452.058625,299.0585625,399.5436875,748.4835,348.9880625,706.9181875,589.9361875,306.7568125,227.0783125,274.0360625,425.2734375,544.8214375,445.04725,207.69875,238.001125,201.17075,560.75025,524.0849375,509.866,694.902,714.0266875,593.2305,516.2751875,504.131,399.813125,74.1756875,671.3181875,503.7964375,92.513875,66.2215,490.846875,482.1358125,245.241125,481.2221875,372.563,549.2355625,330.504625,289.7,595.56525,579.2981875,518.02525,347.505375,269.3820625,437.3781875,325.5635,480.8295,374.7196875,251.547375,54.011,309.159,285.6253125,62.99875,405.5825625,439.54575,371.66225,183.7205,336.4596875,555.271625,453.6535625,388.0463125,404.978,446.5655,417.8018125,464.31375,267.579375,121.4488125,182.0656875,488.6721875,711.377375,654.895,429.549375,132.077375,539.6600625,488.691875
0.7618705277514524,373.4568125,357.633625,201.9758125,279.2609375,368.800875,-62.809375,24.379625,368.9846875,441.11775,362.682375,385.7535625,206.67275,405.6979375,329.519625,367.0196875,452.5214375,51.862625,47.946375,-59.7150625,179.46075,119.897875,220.189625,358.24375,714.45325,274.7370625,238.8820625,281.2283125,103.7315625,464.951375,355.7823125,289.6360625,655.812625,416.1371875,312.0806875,461.901875,199.237875,446.2973125,262.0025625,625.3885,-139.3534375,361.877125,398.27475,232.079625,780.1634375,567.4925625,465.0254375,320.0581875,234.81525,414.9438125,345.5711875,523.054625,467.007125,139.5386875,530.7395,676.7261875,424.6716875,465.780875,327.9283125,376.871625,750.927875,325.1950625,675.617125,519.081375,285.7796875,207.0331875,326.5145625,469.2475,543.4,427.257125,285.25,154.3724375,260.769375,584.336875,568.3814375,485.8691875,648.963125,713.876625,599.85925,542.0601875,583.109875,373.5816875,25.1285,615.29925,515.5229375,95.5866875,86.204375,565.62,469.2456875,264.6425625,479.117625,369.15975,509.144,387.87,366.9853125,633.061375,570.6615,510.823625,335.1578125,309.5974375,468.3269375,332.5100625,467.7583125,362.1865,247.6121875,54.2664375,319.22525,318.072875,20.7683125,378.7166875,373.2669375,409.9580625,203.104625,302.537875,547.700125,450.512,412.6759375,391.5296875,470.032375,386.7555,470.72225,286.3363125,95.515875,198.160625,453.5448125,674.2279375,635.101875,377.743125,152.704125,617.7965625,509.3610625
0.7659430504735356,411.305375,359.620875,216.297125,315.926625,370.4425625,-58.516375,21.34025,370.661,400.436,346.83625,372.76875,207.0561875,350.239,326.704625,414.846375,513.770375,11.3975625,67.4189375,-28.5806875,185.723125,127.7229375,203.4139375,376.541875,686.2671875,317.6825,246.1813125,280.8539375,76.4143125,437.4024375,315.68225,303.15025,602.4935625,398.8494375,375.7240625,386.2213125,255.0988125,422.2960625,307.56925,662.6,-150.49625,338.6603125,441.86,190.7053125,757.3514375,559.257875,477.058625,260.3390625,222.439,443.825375,385.0654375,526.290375,474.1184375,185.3256875,534.9701875,670.5640625,401.2349375,482.6288125,368.0680625,363.3108125,736.487375,279.08725,641.6409375,455.263875,256.96875,195.016,363.418125,501.447,519.87575,389.7938125,351.5691875,83.9355625,316.762125,609.0314375,605.3164375,464.4018125,613.3880625,700.197375,575.6846875,566.4169375,663.6350625,360.701125,-10.76525,563.79625,505.266125,115.1088125,126.9284375,624.516875,463.058625,288.2925625,477.5395,367.0281875,473.64925,440.415875,442.34675,630.7256875,568.18425,514.542875,331.731875,332.802375,497.71125,361.72175,467.1056875,356.3891875,245.3291875,87.4844375,333.21425,337.77925,-18.809,350.728125,325.492875,463.4214375,237.556875,269.3884375,541.445625,447.2495,430.77575,373.837625,510.2123125,358.073875,486.7908125,339.1888125,69.64425,210.1540625,406.2884375,637.544,626.2298125,342.5286875,175.8208125,685.3325625,539.1275
0.7700155731956189,427.402,360.924625,229.024875,322.941,357.1064375,-20.179375,22.3015,364.766125,379.60175,331.203875,375.9951875,189.263875,301.644375,313.6030625,449.6566875,566.961375,-7.0176875,73.0960625,12.40475,182.743875,136.346125,190.4625625,394.95875,645.8394375,364.5423125,257.9618125,293.85575,65.001,394.651,264.0050625,337.5589375,539.760875,396.43325,415.0815625,316.328125,302.8373125,411.3671875,346.68675,700.3855625,-118.787,295.37825,468.53725,168.8633125,720.9085,557.9969375,482.12025,219.820125,225.9469375,461.5229375,438.85375,531.2279375,470.8593125,217.217625,528.41675,657.086625,352.80725,500.5225,417.6323125,346.5116875,705.518625,223.7359375,611.7443125,410.6508125,227.7125625,207.78125,382.412125,515.9290625,483.0689375,331.0623125,403.421625,29.53675,365.692,630.5698125,626.0598125,445.437625,584.5663125,675.9136875,535.8203125,595.261625,727.548375,364.470125,-15.3821875,525.6301875,481.868,144.662,175.326625,663.8618125,468.3838125,315.8335625,478.7770625,375.5301875,449.207375,472.925625,511.22825,595.981375,576.990375,537.5770625,351.300875,337.7304375,516.279125,401.3724375,477.675125,363.290625,242.337625,151.384375,348.2011875,339.6604375,-48.456375,335.9305625,299.0709375,517.5390625,289.6828125,245.402625,536.815625,439.98975,454.7815625,360.4001875,565.207875,349.1798125,516.807375,406.709875,53.5356875,208.5378125,344.5905625,600.3243125,626.0728125,325.7859375,197.6586875,732.79375,588.5188125
0.7740880959176879,409.87875,358.6490625,248.2013125,308.9064375,336.0794375,38.4568125,30.507125,351.4845625,389.5695625,316.642875,392.37,169.0306875,265.09525,284.4981875,462.2323125,607.2344375,-5.1654375,72.6286875,46.683625,173.3388125,148.1730625,179.176,409.6689375,607.7585625,411.2665,265.523125,313.096625,63.3639375,354.2755,213.324125,381.319,480.5635625,409.8431875,420.994875,275.0870625,328.4464375,413.26125,377.2278125,734.8981875,-45.68925,257.461625,471.6475625,170.97125,677.0965625,568.2493125,488.6200625,210.896875,247.940375,457.3811875,489.4281875,537.4570625,452.9870625,237.0990625,511.0818125,633.2361875,292.885875,518.0693125,467.757625,314.1638125,656.968125,171.4915,590.2781875,385.6376875,204.8898125,244.038875,388.4924375,506.7325625,449.1538125,257.2666875,444.1059375,-9.8725625,415.0715625,640.657875,630.937625,430.1099375,557.7793125,653.1839375,500.6449375,623.02825,762.4256875,384.2735,16.4246875,509.5495625,450.5334375,179.5874375,218.849375,686.50575,483.62775,342.68625,483.180625,391.4798125,441.1639375,481.3534375,574.653875,545.3985,596.978875,583.5149375,395.6475625,325.9829375,516.5941875,432.5324375,489.0295,380.9869375,236.970625,238.263875,361.6725,333.100125,-59.2559375,337.2865,290.7440625,558.8654375,346.4719375,232.62775,533.4293125,427.63725,488.056375,363.7234375,627.306625,362.0763125,554.0639375,464.5430625,53.9160625,189.3624375,278.9251875,562.14275,628.7590625,324.622,212.32325,761.92975,647.103875
